seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source;avg_pruned_nodes
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;50;7;10;3601.986;-0.6598948947686418;-0.6598948947686418;0.14404679866278036;0.2182874876055572;4762041;136137;TIME_LIMIT;3.108857e6;68215;0.0;0.0;vertex;0.0
2;50;7;10;3601.608;-0.6785467060591251;-0.6785467060591251;0.17201879125006958;0.25351061277582965;3819285;120540;TIME_LIMIT;22594.0;4394;0.0;0.0;vertex;0.0
3;50;7;10;3602.054;-0.6964447883728754;-0.6964447883728754;0.21001594394611656;0.30155433345518035;4706793;120882;TIME_LIMIT;10673.0;2246;0.0;0.0;vertex;0.0
4;50;7;10;3601.75;-0.6856937571458355;-0.6856937571458355;0.15578741744814728;0.22719678548132666;4303155;127378;TIME_LIMIT;2613.0;793;0.0;0.0;vertex;0.0
5;50;7;10;3602.154;-0.6526737887860717;-0.6526737887860717;0.21136944878967867;0.323851596955979;5007839;110802;TIME_LIMIT;14980.0;2833;0.0;0.0;vertex;0.0
1;50;7;20;3601.393;-1.4151837065037896;-1.4151837065037896;0.22652785095830397;0.16006957253482015;3003435;142871;TIME_LIMIT;2.290742e6;58744;0.0;0.0;vertex;0.0
2;50;7;20;3601.295;-1.5505104781410823;-1.5505104781410823;0.2282515759921293;0.14721059883824952;2263140;124529;TIME_LIMIT;7658.0;2569;0.0;0.0;vertex;0.0
3;50;7;20;3601.463;-1.6341773859338198;-1.6341773859338198;0.35936408418512267;0.21990518733054848;2431103;119926;TIME_LIMIT;1.681006e6;43871;0.0;0.0;vertex;0.0
4;50;7;20;3601.486;-1.3981885967395953;-1.3981885967395953;0.22042123040351758;0.15764770998527158;2338273;122344;TIME_LIMIT;2.283193e6;51024;0.0;0.0;vertex;0.0
5;50;7;20;3602.171;-1.4659289175968095;-1.4659289175968095;0.3411803352819307;0.2327400266045978;3603612;110254;TIME_LIMIT;159669.0;13001;0.0;0.0;vertex;0.0
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;80;8;12;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;80;8;12;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;80;8;12;3603.587;-0.8054736491888068;-0.8054736491888068;0.4049490196706098;0.5027464524487354;5726694;94829;TIME_LIMIT;88907.0;7236;0.0;0.0;vertex;0.0
4;80;8;12;3602.579;-0.8823794236966438;-0.8823794236966438;0.34000578332590004;0.38532832270893;4822901;100253;TIME_LIMIT;87941.0;8116;0.0;0.0;rounding;0.0
5;80;8;12;3602.93;-0.8619484131774704;-0.8619484131774704;0.3552609518929448;0.4121603409922382;5392420;94527;TIME_LIMIT;207741.0;12068;0.0;0.0;vertex;0.0
1;80;8;24;3601.987;-2.230408862921342;-2.230408862921342;0.6738432066557221;0.3021164495253738;3274516;118209;TIME_LIMIT;3.522934e6;58496;0.0;0.0;vertex;0.0
2;80;8;24;3602.313;-1.8706668526039731;-1.8706668526039731;0.6278370366886357;0.33562204612472013;3632546;114861;TIME_LIMIT;346807.0;19466;0.0;0.0;vertex;0.0
3;80;8;24;3601.779;-1.8570139333413762;-1.8570139333413762;0.7251710510974936;0.3905038287960895;2715924;108443;TIME_LIMIT;2.765318e6;48746;0.0;0.0;vertex;0.0
4;80;8;24;3601.349;-1.949921470281641;-1.949921470281641;0.6760794156253023;0.34672135566959594;2226498;115187;TIME_LIMIT;185255.0;15716;0.0;0.0;vertex;0.0
