seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source;avg_pruned_nodes
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;50;7;10;351.542;-33.45284004061308;-33.45284004061308;0.3341396803043821;0.00998838005678212;9309795;4246;OPTIMAL;11448.0;88;0.0;0.0;vertex;0.0
2;50;7;10;703.853;-23.7649322990524;-23.7649322990524;0.23749674589592118;0.009993579737880889;18853220;11766;OPTIMAL;75197.0;829;0.0;0.0;vertex;0.0
3;50;7;10;44.998;-37.24302271370185;-37.24302271370185;0.3697517730285327;0.009928081720727238;1191138;795;OPTIMAL;559.0;7;0.0;0.0;vertex;0.0
4;50;7;10;974.966;-22.993689716100974;-22.993689716100974;0.22936394883191014;0.009975082366676524;26171682;13918;OPTIMAL;140973.0;1144;0.0;0.0;vertex;0.0
5;50;7;10;42.36;-37.283639549849234;-37.283639549849234;0.36611547458814186;0.009819735385506975;1176770;797;OPTIMAL;408.0;9;0.0;0.0;vertex;0.0
1;50;7;20;614.131;-66.75764572599013;-66.75764572599013;0.6675547467704064;0.00999967478647189;14783697;21011;OPTIMAL;3602.0;56;0.0;0.0;vertex;0.0
2;50;7;20;521.667;-48.89852605583886;-48.89852605583886;0.48873113942357804;0.009994803092131646;11267237;24205;OPTIMAL;32012.0;932;0.0;0.0;vertex;0.0
3;50;7;20;4.41;-67.19462780983679;-67.19462780983679;0.6700754465847751;0.009972158019553479;100144;513;OPTIMAL;16.0;3;0.0;0.0;vertex;0.0
4;50;7;20;267.638;-48.92801076156209;-48.92801076156209;0.48896830520664025;0.009993627322997042;6235408;16875;OPTIMAL;4203.0;169;0.0;0.0;vertex;0.0
5;50;7;20;184.348;-71.89139954013103;-71.89139954013103;0.7186998156312825;0.009997020787306994;4339532;11671;OPTIMAL;491.0;22;0.0;0.0;vertex;0.0
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;80;8;12;3600.021;-69.75713531226219;-69.75713531226219;1.424021309308884;0.020413987801167113;73306619;18418;TIME_LIMIT;8406.0;39;0.0;0.0;vertex;0.0
2;80;8;12;3600.008;-47.092835853545125;-47.092835853545125;2.3186126489874113;0.0492349336573849;71969933;20166;TIME_LIMIT;49611.0;231;0.0;0.0;vertex;0.0
3;80;8;12;3600.008;-49.08266353223607;-49.08266353223607;2.6947574929496696;0.05490242988096665;71185936;19488;TIME_LIMIT;438403.0;1419;0.0;0.0;vertex;0.0
4;80;8;12;3600.005;-69.84204493019264;-69.84204493019264;0.7632948100324057;0.010928872583775597;70707259;20031;TIME_LIMIT;329944.0;1111;0.0;0.0;vertex;0.0
5;80;8;12;3600.008;-63.66229730048506;-63.66229730048506;5.082728827886335;0.07983891633529865;71200817;17143;TIME_LIMIT;1.695532e6;4091;0.0;0.0;vertex;0.0
1;80;8;24;3600.018;-148.3605361361604;-148.3605361361604;2.186654739861808;0.014738789686328505;68367393;36169;TIME_LIMIT;13449.0;99;0.0;0.0;vertex;0.0
2;80;8;24;3600.082;-97.74055710801684;-97.74055710801684;1.8809879515032293;0.019244702579549217;58299945;58995;TIME_LIMIT;560914.0;6423;0.0;0.0;rounding;0.0
3;80;8;24;3600.088;-101.79658111390165;-101.79658111390165;2.594296653866323;0.025485105938514056;58836300;46701;TIME_LIMIT;50081.0;548;0.0;0.0;vertex;0.0
4;80;8;24;3600.078;-140.48288263061247;-140.48288263061247;1.6517666004081377;0.011757778381806945;61365013;44071;TIME_LIMIT;12604.0;114;0.0;0.0;vertex;0.0
