seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero
1;50;7;5;3633.376;-1.2684307229561417e-13;-1.2684307229561417e-13;7.656795910028356;6.036432082143049e13;28524157;27839;TIME_LIMIT;3.140818e6;17441;vertex;0.0;0.0
2;50;7;5;3630.66;-8.589472858416365e-14;-8.589472858416365e-14;6.285717587815142;7.31793171877376e13;25849623;30145;TIME_LIMIT;829431.0;5716;vertex;0.0;0.0
3;50;7;5;3635.304;-1.5523852369485042e-13;-1.5523852369485042e-13;7.254468665141533;4.673111088972678e13;27486297;27389;TIME_LIMIT;3.483119e6;17632;vertex;0.0;0.0
1;50;7;10;3600.01;-33.45284004061308;-33.45284004061308;0.6220102832029326;0.018593646531887498;14814824;221463;TIME_LIMIT;26091.0;172;vertex;0.0;0.0
2;50;7;10;3600.054;-23.7649322990524;-23.7649322990524;1.3156659441427365;0.05536165336331285;24001408;176121;TIME_LIMIT;332405.0;5759;vertex;0.0;0.0
3;50;7;10;87.922;-37.24302271370185;-37.24302271370185;0.37219706163805455;0.009993739350837435;1779137;22439;OPTIMAL;383.0;5;vertex;0.0;0.0
1;50;7;20;3600.07;-66.75764572599013;-66.75764572599013;3.6489024587834678;0.05465894459131405;14477740;158601;TIME_LIMIT;198946.0;7182;vertex;0.0;0.0
2;50;7;20;3600.132;-48.89852605583886;-48.89852605583886;1.8912890525755586;0.03867783356937656;9210446;170425;TIME_LIMIT;4457.0;210;vertex;0.0;0.0
3;50;7;20;5.821;-67.19462780983679;-67.19462780983679;0.6701664489691836;0.009973512329970466;119501;1325;OPTIMAL;11.0;1;vertex;0.0;0.0
1;100;10;7;3637.639;-3.69093188898651e-13;-3.69093188898651e-13;66.3083038311754;1.7965193025922497e14;22698903;6555;TIME_LIMIT;442281.0;550;vertex;0.0;0.0
