seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source;avg_pruned_nodes
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;50;7;10;487.266;-0.6598948947686418;-0.6598948947686418;0.032959317423567946;0.04994631370064385;8236950;2659;OPTIMAL;440212.0;1304;0.0;0.0;vertex;0.0
2;50;7;10;750.582;-0.6785467060591251;-0.6785467060591251;0.033911237145111794;0.04997627553460843;12735132;3037;OPTIMAL;169703.0;430;0.0;0.0;sr_rounding;0.0
3;50;7;10;3600.005;-0.6964447883728754;-0.6964447883728754;0.03514211576281767;0.050459298927229015;62283624;13933;TIME_LIMIT;465237.0;1159;0.0;0.0;vertex;0.0
4;50;7;10;275.214;-0.6856937571458355;-0.6856937571458355;0.034202106173848335;0.04987956477278256;4639324;1237;OPTIMAL;1679.0;3;0.0;0.0;vertex;0.0
5;50;7;10;3600.028;-0.6526737887860717;-0.6526737887860717;0.06867363344802135;0.10521892349277513;15562510;3613;TIME_LIMIT;453569.0;275;0.0;0.0;vertex;0.0
1;50;7;20;11.272;-1.4151837065037896;-1.4151837065037896;0.07058676043073375;0.04987816076904835;121071;399;OPTIMAL;4398.0;62;0.0;0.0;vertex;0.0
2;50;7;20;4.784;-1.5505104781410823;-1.5505104781410823;0.07744181001103279;0.04994600881632113;30044;135;OPTIMAL;3512.0;30;0.0;0.0;vertex;0.0
3;50;7;20;128.509;-1.6341773859338198;-1.6341773859338198;0.08170302746036029;0.04999642521284349;1998678;2613;OPTIMAL;5673.0;99;0.0;0.0;vertex;0.0
4;50;7;20;39.988;-1.4059938439810606;-1.4059938439810606;0.07009501165908327;0.04985442287614133;87344;379;OPTIMAL;17963.0;14;0.0;0.0;vertex;0.0
5;50;7;20;565.218;-1.4735010073641448;-1.4735010073641448;0.07362489749320456;0.04996596346066135;2173744;2261;OPTIMAL;101221.0;291;0.0;0.0;vertex;0.0
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;80;8;12;3600.027;-1.0035501932143696;-1.0035501932143696;0.15699850108965618;0.15644309786518026;12483015;2629;TIME_LIMIT;615994.0;246;0.0;0.0;rounding;0.0
2;80;8;12;3600.004;-0.869327292143562;-0.869327292143562;0.06841697066507957;0.07870104997667678;42418432;8831;TIME_LIMIT;87947.0;169;0.0;0.0;vertex;0.0
3;80;8;12;3600.004;-0.8041919692008348;-0.8041919692008348;0.15342328298572516;0.1907794268801135;49204084;10001;TIME_LIMIT;274820.0;411;0.0;0.0;vertex;0.0
4;80;8;12;3600.004;-0.8823794236966438;-0.8823794236966438;0.07949109425533796;0.0900872029883898;49206707;10113;TIME_LIMIT;89198.0;165;0.0;0.0;vertex;0.0
5;80;8;12;3600.004;-0.8619484131774704;-0.8619484131774704;0.11758717215298642;0.13642019679520642;49380851;10205;TIME_LIMIT;226978.0;388;0.0;0.0;vertex;0.0
1;80;8;24;183.244;-2.3179536657323903;-2.3179536657323903;0.1155202224242955;0.049837157718937944;2330242;1259;OPTIMAL;52528.0;253;0.0;0.0;rounding;0.0
2;80;8;24;3600.006;-1.8927512511715274;-1.8927512511715274;0.09866261700307644;0.052126562823302185;47927291;14729;TIME_LIMIT;978287.0;2631;0.0;0.0;rounding;0.0
3;80;8;24;3600.037;-1.9113248277574715;-1.9113248277574715;0.1366123580662162;0.0714752176512568;12131552;4293;TIME_LIMIT;3.196601e6;1956;0.0;0.0;rounding;0.0
4;80;8;24;2658.467;-2.0007639789968747;-2.0007639789968747;0.10002015145909926;0.04999097970028753;35388986;11403;OPTIMAL;523840.0;1614;0.0;0.0;rounding;0.0
