seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source;avg_pruned_nodes
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;50;7;10;557.258;-33.45284004061308;-33.45284004061308;1.6705312306731344;0.04993690307444877;8828338;1753;OPTIMAL;110984.0;174;0.0;0.0;vertex;0.0
2;50;7;10;1267.035;-23.7649322990524;-23.7649322990524;1.1876497798999353;0.049974885892996694;20268146;4135;OPTIMAL;638600.0;1095;0.0;0.0;vertex;0.0
3;50;7;10;18.611;-37.24302271370185;-37.24302271370185;1.7588816473559064;0.04722714536027193;263849;71;OPTIMAL;5094.0;8;0.0;0.0;vertex;0.0
4;50;7;10;1427.078;-22.993689716100974;-22.993689716100974;1.1487436812916698;0.04995908423028253;23339833;4757;OPTIMAL;83101.0;142;0.0;0.0;vertex;0.0
5;50;7;10;65.829;-37.283639549849234;-37.283639549849234;1.8555633422265245;0.04976883599965036;1009677;229;OPTIMAL;3708.0;4;0.0;0.0;vertex;0.0
1;50;7;20;151.793;-66.75764572599013;-66.75764572599013;3.3365451413693563;0.04997997016048711;549707;351;OPTIMAL;104844.0;124;0.0;0.0;sr_rounding;0.0
2;50;7;20;69.432;-48.73864496410339;-48.73864496410339;2.428701120839861;0.0498311170248707;208139;211;OPTIMAL;35787.0;48;0.0;0.0;vertex;0.0
3;50;7;20;1.337;-67.19462780983679;-67.19462780983679;2.5621427753897734;0.03813017288585524;234;3;OPTIMAL;1337.0;1;0.0;0.0;vertex;0.0
4;50;7;20;37.133;-48.85285886114288;-48.85285886114288;2.3851607684922627;0.0488233610907344;77116;131;OPTIMAL;19666.0;9;0.0;0.0;vertex;0.0
5;50;7;20;4.545;-71.62147254840335;-71.62147254840335;3.5410193278310373;0.04944075012473305;28708;63;OPTIMAL;3933.0;22;0.0;0.0;vertex;0.0
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;80;8;12;3600.016;-69.75713531226219;-69.75713531226219;5.275846919599346;0.07563164536477082;47752956;9355;TIME_LIMIT;81653.0;103;0.0;0.0;vertex;0.0
2;80;8;12;3600.029;-43.97003226627032;-43.97003226627032;8.097002451595856;0.18414820354378306;12183160;2447;TIME_LIMIT;2.120707e6;715;0.0;0.0;vertex;0.0
3;80;8;12;3600.003;-49.08266353223607;-49.08266353223607;3.2453305599888296;0.06611969128075926;46808948;9367;TIME_LIMIT;2.022794e6;2628;0.0;0.0;vertex;0.0
4;80;8;12;3033.151;-69.84204493019264;-69.84204493019264;3.4914008926488407;0.049989957999347065;39997568;7809;OPTIMAL;295835.0;387;0.0;0.0;vertex;0.0
5;80;8;12;3600.004;-63.66229730048506;-63.66229730048506;6.305426730203756;0.09904491351360192;47094403;9423;TIME_LIMIT;3.360719e6;4396;0.0;0.0;vertex;0.0
1;80;8;24;78.851;-147.4833346318777;-147.4833346318777;7.317885624311856;0.04961839005456102;969402;371;OPTIMAL;19855.0;52;0.0;0.0;sr_rounding;0.0
2;80;8;24;30.125;-97.65820912556174;-97.65820912556174;4.8001988623248195;0.049153050268954626;337417;243;OPTIMAL;10527.0;41;0.0;0.0;vertex;0.0
3;80;8;24;54.354;-101.38499759654135;-101.38499759654135;5.0569114278152085;0.04987830100799568;645939;351;OPTIMAL;28326.0;98;0.0;0.0;vertex;0.0
4;80;8;24;16.349;-140.48288263061247;-140.48288263061247;6.964227770818042;0.04957349707245027;171866;63;OPTIMAL;10698.0;19;0.0;0.0;sr_rounding;0.0
