seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;50;7;10;3600.043;-33.45284004061308;-33.45284004061308;2.105590791980994;0.06294206379562162;12812285;156841;TIME_LIMIT;49518.0;182;;;vertex
2;50;7;10;3600.083;-23.7649322990524;-23.7649322990524;2.4324688690034506;0.10235538811530477;21542742;132083;TIME_LIMIT;953322.0;14268;;;vertex
3;50;7;10;245.879;-37.24302271370185;-37.24302271370185;0.37215564393436296;0.009992627257868774;2232607;42573;OPTIMAL;645.0;5;;;vertex
4;50;7;10;3600.079;-22.993689716100974;-22.993689716100974;2.7235707914732217;0.11844861895157625;24533304;121541;TIME_LIMIT;60469.0;264;;;vertex
5;50;7;10;2932.819;-37.283639549849234;-37.283639549849234;0.3728110794420658;0.009999320987523423;5580979;201037;OPTIMAL;2972.0;19;;;vertex
1;50;7;20;3600.114;-66.75764572599013;-66.75764572599013;5.108907838104699;0.0765291792804445;15790580;137011;TIME_LIMIT;91439.0;1110;;;vertex
2;50;7;20;3600.162;-48.89852605583886;-48.89852605583886;3.37888463505017;0.06909992810809285;13041761;139915;TIME_LIMIT;92351.0;1680;;;vertex
3;50;7;20;71.654;-67.19462780983682;-67.19462780983682;0.6708383272545575;0.009983511318093075;597010;17475;OPTIMAL;55753.0;9530;;;iterate
4;50;7;20;3600.07;-48.92801076156209;-48.92801076156209;2.985939075225403;0.061027191352139756;8745514;145933;TIME_LIMIT;758.0;24;;;vertex
5;50;7;20;3600.078;-71.89139954013103;-71.89139954013103;7.581435310619511;0.10545677729347058;7405561;147257;TIME_LIMIT;501.0;12;;;vertex
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;80;8;12;3600.007;-69.75713531226219;-69.75713531226219;27.401855059377667;0.3928179524103946;30683720;17509;TIME_LIMIT;392979.0;495;;;vertex
2;80;8;12;3600.006;-45.039853516385236;-45.039853516385236;24.12857447970906;0.5357160957668573;31698336;9463;TIME_LIMIT;367127.0;399;;;vertex
3;80;8;12;3600.008;-48.04575526555735;-48.04575526555735;21.38920680577077;0.4451841101789088;31457424;9525;TIME_LIMIT;1.857897e6;2119;;;vertex
4;80;8;12;3600.013;-68.39534787864508;-68.39534787864508;22.471380776791918;0.32855130463936283;30699229;26639;TIME_LIMIT;2.587481e6;7207;;;vertex
5;80;8;12;3600.008;-60.11177004040101;-60.11177004040101;44.45293638463795;0.7395046985766883;32329696;7521;TIME_LIMIT;2.222412e6;2323;;;vertex
1;80;8;24;3600.037;-147.865159591198;-147.865159591198;21.53440887914894;0.14563544880136067;23204109;76745;TIME_LIMIT;233729.0;634;;;vertex
2;80;8;24;3600.064;-97.65820912556174;-97.65820912556174;13.578909674596446;0.13904524561921552;17036114;102583;TIME_LIMIT;357684.0;3872;;;rounding
3;80;8;24;3600.031;-101.56473374409057;-101.56473374409057;19.57383832224994;0.1927227847765497;27172974;32543;TIME_LIMIT;2.802877e6;11055;;;vertex
4;80;8;24;3600.108;-140.48288263061247;-140.48288263061247;12.206958019814152;0.0868928497994399;19460498;97201;TIME_LIMIT;14869.0;63;;;vertex
5;80;8;24;3600.032;-140.95765006873125;-140.95765006873125;29.35662115303444;0.2082655403145561;20195187;89177;TIME_LIMIT;9905.0;32;;;vertex
1;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
