seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;50;7;10;3603.436;-0.6563349813967121;-0.6563349813967121;0.5661805762073904;0.8626396463015443;8309743;95087;TIME_LIMIT;11518.0;1162;;;vertex
2;50;7;10;3603.192;-0.6781563599766722;-0.6781563599766722;0.57447648324923;0.8471150860680438;8389591;110861;TIME_LIMIT;130391.0;6180;;;rounding
3;50;7;10;3604.039;-0.6964447883728754;-0.6964447883728754;0.6445168111605758;0.925438486899126;11355871;93663;TIME_LIMIT;63889.0;2360;;;rounding
4;50;7;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;10;3605.083;-0.6526737887860717;-0.6526737887860717;0.6402563967580971;0.9809745814198083;11727804;82897;TIME_LIMIT;42083.0;1688;;;vertex
1;50;7;20;3601.9;-1.399003629813532;-1.399003629813532;1.0550906909661246;0.7541729474331341;3756488;119189;TIME_LIMIT;702037.0;28277;;;vertex
2;50;7;20;3601.818;-1.5505104781410823;-1.5505104781410823;0.9151877322669182;0.5902493050960501;3691291;129857;TIME_LIMIT;38515.0;5570;;;vertex
3;50;7;20;3602.593;-1.6247267883900074;-1.6247267883900074;1.1449598097540439;0.7047091350593292;4486439;114191;TIME_LIMIT;3.048095e6;52780;;;vertex
4;50;7;20;3602.218;-1.3924132518234802;-1.3924132518234802;0.9946779063844269;0.7143553862919747;4007994;122961;TIME_LIMIT;33371.0;5010;;;vertex
5;50;7;20;3604.5;-1.4601925579703607;-1.4601925579703607;1.1164505739984176;0.7645913327693317;7261502;90223;TIME_LIMIT;1.679428e6;30944;;;vertex
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;80;8;12;3604.422;-1.0035501932143696;-1.0035501932143696;1.338539007727443;1.3338037467165493;12268790;68869;TIME_LIMIT;108221.0;2748;;;rounding
2;80;8;12;3606.7;-0.8222999711586003;-0.8222999711586003;1.1156259150600196;1.3567140389025314;11711263;58793;TIME_LIMIT;19450.0;596;;;rounding
3;80;8;12;3608.302;-0.8054736491888068;-0.8054736491888068;1.2902380973116871;1.6018377492685043;11792536;50535;TIME_LIMIT;1.47429e6;13573;;;vertex
4;80;8;12;3605.738;-0.8823794236966438;-0.8823794236966438;1.1819707123912826;1.3395266034644484;10953565;58453;TIME_LIMIT;222120.0;4244;;;vertex
5;80;8;12;3606.258;-0.8419995601939139;-0.8419995601939139;1.2107045150673237;1.4378920991223516;10404527;49609;TIME_LIMIT;288231.0;4158;;;vertex
1;80;8;24;3604.991;-2.2445570339513017;-2.2445570339513017;2.4600281973069196;1.0959971879067398;7009926;77343;TIME_LIMIT;1.835027e6;27974;;;vertex
2;80;8;24;3605.937;-1.8632966784143328;-1.8632966784143328;1.9549082823284452;1.0491664075696598;7583543;74701;TIME_LIMIT;3.017306e6;34538;;;vertex
3;80;8;24;3604.304;-1.820413519042574;-1.820413519042574;2.1724558105377807;1.1933858916189324;4981654;81719;TIME_LIMIT;3.164675e6;39205;;;vertex
4;80;8;24;3602.672;-1.9401373968208655;-1.9401373968208655;1.9753311224757097;1.018139810980662;3595481;91091;TIME_LIMIT;3.354334e6;44360;;;vertex
5;80;8;24;3605.001;-1.982485195190445;-1.982485195190445;1.9639381982584039;0.9906445722888441;6711477;73787;TIME_LIMIT;410055.0;9832;;;vertex
1;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
