seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;50;7;10;3601.832;-0.6568637009409543;-0.6568637009409543;0.5458140180174921;0.8309395346943604;4282844;129873;TIME_LIMIT;298285.0;17918;;;vertex
2;50;7;10;3601.501;-0.6785467060591251;-0.6785467060591251;0.5750427814769231;0.847462343184401;4017214;135083;TIME_LIMIT;801527.0;31968;;;vertex
3;50;7;10;3601.904;-0.6964447883728754;-0.6964447883728754;0.638400071348377;0.9166556804020172;5150539;125139;TIME_LIMIT;20214.0;2912;;;rounding
4;50;7;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;10;3601.755;-0.6526737887860717;-0.6526737887860717;0.6196738558415599;0.9494388567282754;5968958;121739;TIME_LIMIT;8440.0;1483;;;vertex
1;50;7;20;3601.434;-1.403411711587752;-1.403411711587752;1.0339857202488436;0.7367657770783759;2315358;137991;TIME_LIMIT;1.861615e6;50380;;;vertex
2;50;7;20;3601.277;-1.5354600163947438;-1.5354600163947438;0.927274995911672;0.6039069633925808;2234647;141623;TIME_LIMIT;34465.0;6244;;;vertex
3;50;7;20;3601.401;-1.6247267883900074;-1.6247267883900074;1.128286679354173;0.694447021749563;2484316;136239;TIME_LIMIT;955832.0;36228;;;vertex
4;50;7;20;3601.396;-1.3979961740133133;-1.3979961740133133;0.9799652629390676;0.7009785013401154;2342502;138741;TIME_LIMIT;155230.0;14708;;;vertex
5;50;7;20;3602.196;-1.4659289175968095;-1.4659289175968095;1.0733340753006853;0.732186985614739;3435184;123047;TIME_LIMIT;244171.0;16508;;;vertex
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;80;8;12;3601.861;-1.0035501932143696;-1.0035501932143696;1.2919908886364508;1.2874202978310494;6912506;108213;TIME_LIMIT;9975.0;1178;;;rounding
2;80;8;12;3602.723;-0.869327292143562;-0.869327292143562;1.0299871781893324;1.1848094354079461;6950136;111869;TIME_LIMIT;60071.0;4534;;;vertex
3;80;8;12;3603.76;-0.7961511693879582;-0.7961511693879582;1.2302669474621342;1.5452680279398483;7331222;92915;TIME_LIMIT;473364.0;14784;;;rounding
4;80;8;12;3602.925;-0.8823794236966438;-0.8823794236966438;1.0987771553119678;1.245243401878918;6124726;106599;TIME_LIMIT;32862.0;3253;;;rounding
5;80;8;12;3603.293;-0.8419995601939139;-0.8419995601939139;1.1645820932453126;1.3831148474437533;6883508;91789;TIME_LIMIT;76917.0;4385;;;vertex
1;80;8;24;3602.174;-2.249971616723613;-2.249971616723613;2.4100820909687375;1.071161108458015;3009507;104243;TIME_LIMIT;114718.0;9744;;;vertex
2;80;8;24;3602.242;-1.8555703797401977;-1.8555703797401977;1.8576993720174109;1.001147351941192;3309596;102139;TIME_LIMIT;219325.0;12515;;;vertex
3;80;8;24;3601.623;-1.81779014451143;-1.81779014451143;2.1437932645050513;1.1793403495876262;2444361;105701;TIME_LIMIT;402430.0;20065;;;vertex
4;80;8;24;3601.708;-1.9856141318602547;-1.9856141318602547;1.8807339221753527;0.9471799641219096;2182574;109821;TIME_LIMIT;3.571691e6;54697;;;rounding_lmo_01
5;80;8;24;3602.465;-1.9244827881876763;-1.9244827881876763;1.9681430418074628;1.022686746739316;2841596;102185;TIME_LIMIT;2.261851e6;43427;;;vertex
1;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
