seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;50;7;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;50;7;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;50;7;10;18.969;-37.24302271370185;-1862.1511356850924;0.36758342085243356;0.009869860018563914;298709;259;OPTIMAL;319.0;3;vertex
1;50;7;20;327.295;-66.75764572599013;-3337.8822862995066;0.6663653905329028;0.009981858756194468;5265810;5513;OPTIMAL;179.0;2;vertex
2;50;7;20;199.491;-48.89852605583886;-2444.926302791943;0.4885801757722277;0.009991715807840541;3175493;3911;OPTIMAL;21087.0;200;vertex
3;50;7;20;4.087;-67.19462780983679;-3359.731390491839;0.64833355698606;0.009648592128836063;61303;207;OPTIMAL;32.0;1;vertex
1;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;100;10;15;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;100;10;15;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;100;10;15;111.771;-88.03234781841553;-8803.234781841553;19.459066255586905;0.2210444994120247;715782;511;OPTIMAL;80493.0;206;vertex
1;100;10;34;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;100;10;34;3600.008;-183.43488093929517;-18343.488093929518;5.458823972502188;0.029758920138578757;24028147;23983;TIME_LIMIT;947236.0;3059;vertex
3;100;10;34;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;150;12;9;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;150;12;9;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;150;12;9;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;150;12;18;117.945;-125.94719011780217;-18892.078517670325;95.73492172262914;0.7601195519573355;436974;257;OPTIMAL;89638.0;104;vertex
2;150;12;18;129.159;-128.73978468193724;-19310.967702290585;72.07398200624584;0.5598423376605052;452928;261;OPTIMAL;34445.0;49;vertex
3;150;12;18;121.002;-118.7720511220503;-17815.807668307545;92.10245020280101;0.7754555834701922;419951;257;OPTIMAL;18400.0;25;vertex
1;150;12;44;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;150;12;44;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;150;12;44;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;200;14;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;200;14;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;200;14;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;200;14;21;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;200;14;21;156.735;-154.58089783644292;-30916.179567288582;184.60416570146506;1.1942236607836811;366001;255;OPTIMAL;154882.0;127;vertex
3;200;14;21;108.296;-166.69219897909102;-33338.4397958182;226.17927080064266;1.3568677609743056;221665;127;OPTIMAL;66969.0;45;vertex
1;200;14;55;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;200;14;55;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;200;14;55;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
