seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;50;7;10;3600.043;-33.45284004061308;-33.45284004061308;2.1727046134162293;0.06494828572935749;17313125;149625;TIME_LIMIT;188113.0;432;;;vertex
2;50;7;10;3600.077;-23.7649322990524;-23.7649322990524;2.642026934308948;0.11117334150429269;33816102;104205;TIME_LIMIT;643955.0;2505;;;vertex
3;50;7;10;244.167;-37.24302271370185;-37.24302271370185;0.37220296507342;0.009993897862014437;2607960;35437;OPTIMAL;3701.0;13;;;vertex
4;50;7;10;3600.051;-22.993689716100974;-22.993689716100974;3.1350631525956274;0.13634450109154722;37904886;90541;TIME_LIMIT;366534.0;864;;;vertex
5;50;7;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;50;7;20;3600.058;-66.75764572599013;-66.75764572599013;5.567324713705659;0.08339606127749027;30885554;101615;TIME_LIMIT;139516.0;632;;;vertex
2;50;7;20;3600.28;-48.89852605583886;-48.89852605583886;3.6759909141451317;0.07517590427873828;27367639;103963;TIME_LIMIT;247435.0;1834;;;vertex
3;50;7;20;115.967;-67.19462780983679;-67.19462780983679;0.6717001090292172;0.009996336476930158;1182992;16975;OPTIMAL;47.0;1;;;vertex
4;50;7;20;3600.168;-48.92801076156209;-48.92801076156209;3.1137737221559902;0.06363990020624699;19517788;123427;TIME_LIMIT;2942.0;22;;;vertex
5;50;7;20;3600.091;-71.89139954013103;-71.89139954013103;7.765634881304635;0.10801896932010235;15316152;131105;TIME_LIMIT;546.0;7;;;vertex
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;80;8;12;3600.004;-69.75713531226219;-69.75713531226219;32.836182048664085;0.4707214810596158;30574718;8285;TIME_LIMIT;1.352583e6;1236;;;vertex
2;80;8;12;3600.003;-44.288429605653036;-44.288429605653036;25.13363572617203;0.5674989145012254;30171261;6915;TIME_LIMIT;2.506487e6;2320;;;rounding
3;80;8;12;3600.008;-48.04575526555735;-48.04575526555735;21.901784502989784;0.455852642589023;29994372;7481;TIME_LIMIT;1.459555e6;1281;;;vertex
4;80;8;12;3600.013;-68.39534787864508;-68.39534787864508;23.060819607756912;0.337169417555622;29590893;22263;TIME_LIMIT;2.857696e6;7015;;;vertex
5;80;8;12;3600.002;-60.11177004040101;-60.11177004040101;45.99692194570531;0.7651899439126624;31479273;6513;TIME_LIMIT;2.709063e6;2430;;;vertex
1;80;8;24;3600.013;-146.51682540193931;-146.51682540193931;25.327470716328833;0.1728639058814442;26051880;23061;TIME_LIMIT;139365.0;159;;;vertex
2;80;8;24;3600.034;-97.65820912556174;-97.65820912556174;14.774204251447927;0.15128481654268655;22933072;45915;TIME_LIMIT;491035.0;2079;;;vertex
3;80;8;24;3600.025;-101.52863855384962;-101.52863855384962;21.306522344715205;0.20985726439554758;25389762;11157;TIME_LIMIT;3.310524e6;5085;;;vertex
4;80;8;24;3600.032;-140.48288263061247;-140.48288263061247;13.45065857705066;0.09574588964278302;24748944;35745;TIME_LIMIT;49935.0;56;;;vertex
5;80;8;24;3600.017;-140.95765006873125;-140.95765006873125;31.270918547969927;0.22184619658970023;25638003;36753;TIME_LIMIT;2.400304e6;9414;;;vertex
1;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
