seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source;avg_pruned_nodes
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;50;7;10;3601.787;-0.6568637009409543;-0.6568637009409543;0.1598947644896913;0.24342152604968548;3717378;108914;TIME_LIMIT;29909.0;4862;0.0;0.0;vertex;0.0
2;50;7;10;3601.718;-0.6785467060591251;-0.6785467060591251;0.16634028200936413;0.24514197847254757;3708854;116440;TIME_LIMIT;21370.0;4141;0.0;0.0;vertex;0.0
3;50;7;10;3602.119;-0.6964447883728754;-0.6964447883728754;0.22222834035776484;0.319089673823195;4165188;108650;TIME_LIMIT;11309.0;2484;0.0;0.0;rounding;0.0
4;50;7;10;3601.709;-0.6856937571458355;-0.6856937571458355;0.1562894019184493;0.22792886808390353;3776372;113118;TIME_LIMIT;2958.0;1069;0.0;0.0;rounding;0.0
5;50;7;10;3602.23;-0.6526737887860717;-0.6526737887860717;0.21376286748221462;0.3275186948748146;4596405;102384;TIME_LIMIT;17283.0;2840;0.0;0.0;vertex;0.0
1;50;7;20;3601.53;-1.4151837065037896;-1.4151837065037896;0.20693571266314903;0.146225335772402;2450922;115967;TIME_LIMIT;1.59272e6;45082;0.0;0.0;vertex;0.0
2;50;7;20;3601.333;-1.5505104781410823;-1.5505104781410823;0.18831835523187057;0.12145571273897274;2130112;122969;TIME_LIMIT;7862.0;3130;0.0;0.0;vertex;0.0
3;50;7;20;3601.636;-1.6247267883900074;-1.6247267883900074;0.38192205783262034;0.23506848078197742;2213111;113555;TIME_LIMIT;183021.0;16201;0.0;0.0;vertex;0.0
4;50;7;20;3601.461;-1.402268146233269;-1.402268146233269;0.19336114836075935;0.1378917070035145;2165507;113655;TIME_LIMIT;958911.0;35067;0.0;0.0;vertex;0.0
5;50;7;20;3602.29;-1.4659289175968095;-1.4659289175968095;0.34426613205681944;0.2348450377943269;3307731;102275;TIME_LIMIT;25654.0;4612;0.0;0.0;vertex;0.0
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing;
1;80;8;12;3602.266;-1.0035501932143696;-1.0035501932143696;0.3483296255059791;0.3470973628038274;5438859;102536;TIME_LIMIT;15377.0;2508;0.0;0.0;vertex;0.0
2;80;8;12;3602.703;-0.869327292143562;-0.869327292143562;0.2917872399307089;0.3356471636950778;4984751;95446;TIME_LIMIT;32810.0;4172;0.0;0.0;rounding;0.0
3;80;8;12;3603.268;-0.8054736491888068;-0.8054736491888068;0.4040147594293053;0.501586563180793;5402629;91434;TIME_LIMIT;117008.0;8192;0.0;0.0;vertex;0.0
4;80;8;12;3602.634;-0.8823794236966438;-0.8823794236966438;0.3408650331679617;0.3863021099698136;4586789;94656;TIME_LIMIT;243708.0;13705;0.0;0.0;vertex;0.0
5;80;8;12;3602.934;-0.8619484131774704;-0.8619484131774704;0.355742698741061;0.41271924549365757;5216462;90960;TIME_LIMIT;41832.0;4574;0.0;0.0;vertex;0.0
1;80;8;24;3601.945;-2.2234211434839617;-2.2234211434839617;0.6863224370854617;0.308678560108517;3058852;111057;TIME_LIMIT;238036.0;16498;0.0;0.0;vertex;0.0
2;80;8;24;3601.926;-1.8706668526039731;-1.8706668526039731;0.6342357467433928;0.3390425964198462;2984580;104585;TIME_LIMIT;430627.0;21778;0.0;0.0;vertex;0.0
3;80;8;24;3602.026;-1.8445752993352778;-1.8445752993352778;0.738172966460735;0.40018586756894525;2650770;104625;TIME_LIMIT;401125.0;21433;0.0;0.0;vertex;0.0
