seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;50;7;10;3600.059;-33.45284004061308;-33.45284004061308;2.192694827315634;0.0655458497590523;12647798;149081;TIME_LIMIT;68850.0;182;0.0;0.0;vertex
2;50;7;10;3600.051;-23.7649322990524;-23.7649322990524;2.4241522758758762;0.10200543579804502;20634578;126871;TIME_LIMIT;337940.0;2067;0.0;0.0;vertex
3;50;7;10;278.237;-37.24302271370185;-37.24302271370185;0.3722998024739752;0.009996498010807396;2253144;42581;OPTIMAL;823.0;5;0.0;0.0;vertex
4;50;7;10;3600.064;-22.993689716100974;-22.993689716100974;2.8353889416822966;0.12331161186787955;27452967;109285;TIME_LIMIT;259587.0;944;0.0;0.0;vertex
5;50;7;10;2915.741;-37.283639549849234;-37.283639549849234;0.3728350777901568;0.00999996465719679;5561849;197587;OPTIMAL;19512.0;83;0.0;0.0;rounding
1;50;7;20;3600.061;-66.75764572599013;-66.75764572599013;5.4646745997881965;0.0818584079824835;14499179;119705;TIME_LIMIT;117011.0;912;0.0;0.0;vertex
2;50;7;20;3600.195;-48.89852605583886;-48.89852605583886;3.547267030998462;0.07254343468242212;12462503;125003;TIME_LIMIT;112157.0;1700;0.0;0.0;vertex
3;50;7;20;252.293;-67.19462780983679;-67.19462780983679;0.6717574941120859;0.009997190489888324;883286;31053;OPTIMAL;35.0;1;0.001507770818835537;0.002899559266991417;vertex
4;50;7;20;3600.133;-48.92801076156209;-48.92801076156209;3.3616646400710266;0.06870634198584576;7846186;133967;TIME_LIMIT;537.0;16;0.0;0.0;vertex
5;50;7;20;3600.101;-71.89139954013103;-71.89139954013103;8.107401842291665;0.11277290321446548;7255011;133921;TIME_LIMIT;1670.0;24;0.0;0.0;vertex
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;80;8;12;3600.006;-69.75713531226219;-69.75713531226219;28.04927079688275;0.4020989490368613;27956955;14961;TIME_LIMIT;519029.0;495;0.0;0.0;vertex
2;80;8;12;3600.003;-45.039853516385236;-45.039853516385236;24.42470826133318;0.5422910234920638;28989109;8495;TIME_LIMIT;396439.0;397;0.0;0.0;vertex
3;80;8;12;3600.015;-48.04575526555735;-48.04575526555735;21.682278386574723;0.45128395352998313;29074274;8541;TIME_LIMIT;2.113465e6;2197;0.0;0.0;vertex
4;80;8;12;3600.029;-69.47693083871818;-69.47693083871818;21.24319378876686;0.3057589552722215;29578327;28385;TIME_LIMIT;3.018981e6;8676;0.0;0.0;vertex
5;80;8;12;3600.006;-60.11177004040101;-60.11177004040101;45.01868664978235;0.7489163373416783;29912653;7017;TIME_LIMIT;2.345114e6;2235;0.0;0.0;vertex
1;80;8;24;3600.026;-147.865159591198;-147.865159591198;21.743209599413177;0.1470475510223403;21860495;64947;TIME_LIMIT;334469.0;634;0.0;0.0;vertex
2;80;8;24;3600.065;-97.65820912556174;-97.65820912556174;13.542950114325976;0.13867702710904156;16859325;90317;TIME_LIMIT;377815.0;3742;0.0;0.0;rounding
3;80;8;24;3600.049;-101.31562173539814;-101.31562173539814;20.15343698375382;0.19891736968646087;24910495;26589;TIME_LIMIT;817848.0;1802;0.0;0.0;rounding
4;80;8;24;3600.088;-140.48288263061247;-140.48288263061247;12.219056981017417;0.08697897389496459;19077405;86721;TIME_LIMIT;14896.0;59;0.0;0.0;vertex
5;80;8;24;3600.046;-140.95765006873125;-140.95765006873125;29.896836465987178;0.21209800568759068;20266335;66551;TIME_LIMIT;1.539395e6;10233;0.0;0.0;vertex
