seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,80,26,3600.005101,40,3.230732258743342,3.2979433694740576,0.020803677107201303,Inf,TIME_LIMIT,false,199916,0,0,5869227
2,80,26,61.287049,40,2.7036556768805906,2.729513844084668,0.009564149542116134,-2.703659317972649,OPTIMAL,true,642,0,0,17900
3,80,26,3600.00567,40,3.422965711757052,3.5253106912588286,0.02989950473364268,-3.4229657117589802,TIME_LIMIT,true,225263,0,0,6707231
4,80,26,3600.011162,40,3.30755843155516,3.467273141922237,0.04828779707815534,-3.3075587322054454,TIME_LIMIT,true,241847,0,0,6369144
5,80,26,3600.005129,40,3.215991107720867,3.278588096906098,0.019464291749734474,-3.215991586704659,TIME_LIMIT,true,205328,0,0,6515350
1,100,33,50.161851,50,1.7876114030370076,1.8003171884680673,0.00710768873451669,-1.7876114050410554,OPTIMAL,true,1,0,0,48
2,100,33,3600.003361,50,2.9846867783143054,3.08462200430543,0.033482651083262524,Inf,TIME_LIMIT,false,141078,0,0,4250846
3,100,33,3600.003552,50,3.013972090477911,3.1513734243130247,0.04558812414660642,-3.013972122674166,TIME_LIMIT,true,156374,0,0,4692765
4,100,33,3600.006995,50,3.039077812134212,3.2234273705744947,0.06065970331665246,-3.0390778121373883,TIME_LIMIT,true,169589,0,0,4651692
5,100,33,1122.569562,50,2.953240857704896,2.9827343389760808,0.009986818783925894,Inf,OPTIMAL,false,34761,0,0,1307971
1,150,50,3600.002813,75,2.5585174828125004,2.6779924454386466,0.04669694986598685,-2.5585174878581554,TIME_LIMIT,true,79989,0,0,2255431
2,150,50,3600.00212,75,2.5805109478176362,2.8307980661252796,0.09699130264078658,-2.5805109486103612,TIME_LIMIT,true,83311,0,0,2325715
3,150,50,3600.002371,75,2.579451717836479,2.9018552801256674,0.1249891828018418,-2.5794518192316973,TIME_LIMIT,true,84832,0,0,2404231
4,150,50,3600.00202,75,2.5416803445529745,2.7442675737637385,0.07970602190197706,-2.5416804881082102,TIME_LIMIT,true,87448,0,0,2440307
5,150,50,3600.002116,75,2.2788905729705387,2.3877186530599324,0.04775485114563271,Inf,TIME_LIMIT,false,79734,0,0,2443967
1,200,66,3600.003219,100,2.2553932864932813,2.4674993316975966,0.09404392860196055,-2.2553933458440083,TIME_LIMIT,true,37464,0,0,1364740
2,200,66,3600.002757,100,2.2440519069955918,2.39690566443928,0.06811507210113228,Inf,TIME_LIMIT,false,38705,0,0,1284891
3,200,66,3600.00196,100,2.270592008658348,2.3625145129257907,0.04048393719211498,Inf,TIME_LIMIT,false,39418,0,0,1305896
4,200,66,3600.001211,100,2.1303525613778844,2.376167907340212,0.11538716662153677,Inf,TIME_LIMIT,false,38792,0,0,1327141
5,200,66,3600.00168,100,2.4250178133463156,2.69849254222506,0.11277225568144289,-2.4250178133684623,TIME_LIMIT,true,43813,0,0,1407700
